Demographic Subgroup,National 2017 Formal Volunteering Rate,National 2019 Formal Volunteering Rate,National 2021 Formal Volunteering Rate,National 2017 Organizational Membership Rate,National 2019 Organizational Membership Rate,National 2021 Organizational Membership Rate,National 2017 Charitable Giving Rate,National 2019 Charitable Giving Rate,National 2021 Charitable Giving Rate,National 2017 Informal Helping Rate,National 2019 Informal Helping Rate,National 2021 Informal Helping Rate,National 2017 Talking with Friends and Family Rate,National 2019 Talking with Friends and Family Rate,National 2021 Talking with Friends and Family Rate,National 2017 Talking with Neighbors Rate,National 2019 Talking with Neighbors Rate,National 2021 Talking with Neighbors Rate,National 2017 Learning About Issues Rate,National 2019 Learning About Issues Rate,National 2021 Learning About Issues Rate,National 2017 Discussing Issues with Friends and Family Rate,National 2019 Discussing Issues with Friends and Family Rate,National 2021 Discussing Issues with Friends and Family Rate,National 2017 Discussing Issues with Neighbors Rate,National 2019 Discussing Issues with Neighbors Rate,National 2021 Discussing Issues with Neighbors Rate,National 2017 Posting Views Online Rate,National 2019 Posting Views Online Rate,National 2021 Posting Views Online Rate,National 2017 Voting in Local Elections Rate,National 2019 Voting in Local Elections Rate,National 2021 Voting in Local Elections Rate,National 2017 Contacting Public Officials Rate,National 2019 Contacting Public Officials Rate,National 2021 Contacting Public Officials Rate,National 2017 Donating to a Political Cause Rate,National 2019 Donating to a Political Cause Rate,National 2021 Donating to a Political Cause Rate,National 2017 Attending Public Meetings Rate,National 2019 Attending Public Meetings Rate,National 2021 Attending Public Meetings Rate,National 2017 Taking Action with Neighbors Rate,National 2019 Taking Action with Neighbors Rate,National 2021 Taking Action with Neighbors Rate,National 2017 Buycotting or Boycotting Rate,National 2019 Buycotting or Boycotting Rate,National 2021 Buycotting or Boycotting Rate,National 2021 Employer Promotes Volunteering Rate
Age: 16 to 17,0.314,0.338,0.282,0.257,0.259,0.235,0.155,0.171,0.169,0.342,0.38,0.331,0.969,0.97,0.954,0.578,0.541,0.505,0.721,0.686,0.633,0.558,0.537,0.5,0.17,0.162,0.147,0.255,0.195,0.185,,,,0.018,0.036,0.024,0.009,0.015,0.016,0.031,0.047,0.026,0.171,0.185,0.165,0.053,0.09,0.082,0.137
Age: 18 to 24,0.233,0.247,0.178,0.18,0.185,0.14,0.271,0.273,0.247,0.322,0.339,0.338,0.969,0.967,0.952,0.557,0.518,0.517,0.798,0.75,0.749,0.66,0.634,0.64,0.189,0.175,0.176,0.309,0.25,0.28,0.28,0.311,0.335,0.048,0.042,0.033,0.027,0.026,0.021,0.039,0.042,0.029,0.129,0.13,0.116,0.083,0.105,0.113,0.241
Age: 25 to 44,0.322,0.306,0.233,0.237,0.227,0.205,0.503,0.481,0.462,0.497,0.494,0.489,0.978,0.974,0.97,0.729,0.677,0.657,0.872,0.828,0.832,0.735,0.702,0.726,0.309,0.268,0.279,0.262,0.212,0.245,0.453,0.455,0.512,0.101,0.083,0.089,0.069,0.061,0.078,0.108,0.107,0.092,0.202,0.192,0.163,0.145,0.149,0.188,0.378
Age: 45 to 54,0.34,0.34,0.27,0.28,0.292,0.248,0.59,0.558,0.536,0.57,0.563,0.554,0.978,0.973,0.964,0.783,0.736,0.73,0.883,0.853,0.845,0.744,0.703,0.709,0.361,0.318,0.339,0.209,0.195,0.209,0.551,0.558,0.586,0.133,0.112,0.109,0.092,0.081,0.096,0.136,0.128,0.111,0.234,0.231,0.203,0.166,0.173,0.191,0.38
Age: 55 to 59,0.314,0.303,0.244,0.313,0.303,0.265,0.604,0.592,0.54,0.587,0.583,0.572,0.976,0.979,0.963,0.811,0.778,0.741,0.895,0.883,0.869,0.739,0.717,0.704,0.377,0.336,0.341,0.186,0.173,0.194,0.606,0.621,0.605,0.146,0.12,0.118,0.113,0.1,0.104,0.128,0.128,0.096,0.235,0.233,0.196,0.173,0.17,0.18,0.375
Age: 60 to 69,0.301,0.3,0.232,0.329,0.316,0.286,0.635,0.609,0.563,0.596,0.596,0.589,0.978,0.973,0.965,0.831,0.787,0.77,0.909,0.888,0.879,0.735,0.691,0.706,0.39,0.347,0.365,0.168,0.169,0.174,0.647,0.653,0.659,0.164,0.139,0.126,0.125,0.115,0.129,0.129,0.113,0.084,0.241,0.232,0.213,0.164,0.177,0.196,0.35
Age: 70 to 79,0.296,0.303,0.241,0.351,0.376,0.322,0.632,0.622,0.605,0.596,0.609,0.588,0.971,0.976,0.963,0.842,0.809,0.785,0.903,0.881,0.88,0.702,0.681,0.688,0.399,0.373,0.372,0.127,0.14,0.147,0.666,0.685,0.695,0.155,0.146,0.133,0.146,0.141,0.168,0.124,0.125,0.083,0.243,0.249,0.219,0.134,0.143,0.172,0.329
Age: 80 to 84,0.234,0.253,0.177,0.332,0.353,0.3,0.612,0.61,0.598,0.519,0.535,0.519,0.975,0.98,0.952,0.832,0.782,0.773,0.886,0.884,0.853,0.656,0.625,0.642,0.359,0.333,0.338,0.071,0.101,0.101,0.65,0.665,0.674,0.104,0.097,0.074,0.121,0.151,0.145,0.078,0.093,0.051,0.19,0.198,0.184,0.072,0.083,0.101,0.247
Age: 85 and over,0.161,0.175,0.118,0.301,0.283,0.246,0.591,0.52,0.517,0.444,0.431,0.431,0.946,0.949,0.932,0.759,0.715,0.7,0.865,0.814,0.827,0.622,0.56,0.583,0.344,0.277,0.29,0.062,0.069,0.061,0.569,0.607,0.595,0.073,0.06,0.048,0.146,0.123,0.121,0.061,0.052,0.035,0.17,0.174,0.128,0.047,0.052,0.06,0.21
Age: 16 to 54,0.31,0.306,0.235,0.239,0.237,0.206,0.465,0.447,0.427,0.477,0.478,0.471,0.976,0.972,0.965,0.704,0.656,0.643,0.853,0.813,0.81,0.715,0.682,0.695,0.294,0.259,0.269,0.256,0.213,0.239,0.449,0.457,0.5,0.095,0.081,0.081,0.064,0.057,0.069,0.099,0.097,0.082,0.196,0.191,0.165,0.134,0.144,0.17,0.355
Age: 55 and over,0.29,0.291,0.227,0.329,0.329,0.29,0.623,0.603,0.569,0.58,0.582,0.572,0.974,0.974,0.961,0.825,0.786,0.764,0.9,0.881,0.873,0.716,0.682,0.69,0.384,0.346,0.356,0.15,0.152,0.16,0.637,0.652,0.655,0.148,0.129,0.118,0.128,0.121,0.135,0.12,0.114,0.081,0.232,0.231,0.205,0.146,0.153,0.172,0.356
