State,State 2017 Formal Volunteering Rate,State 2019 Formal Volunteering Rate,State 2021 Formal Volunteering Rate,State 2017 Organizational Membership Rate,State 2019 Organizational Membership Rate,State 2021 Organizational Membership Rate,State 2017 Charitable Giving Rate,State 2019 Charitable Giving Rate,State 2021 Charitable Giving Rate,State 2017 Informal Helping Rate,State 2019 Informal Helping Rate,State 2021 Informal Helping Rate,State 2017 Talking with Friends and Family Rate,State 2019 Talking with Friends and Family Rate,State 2021 Talking with Friends and Family Rate,State 2017 Talking with Neighbors Rate,State 2019 Talking with Neighbors Rate,State 2021 Talking with Neighbors Rate,State 2017 Learning About Issues Rate,State 2019 Learning About Issues Rate,State 2021 Learning About Issues Rate,State 2017 Discussing Issues with Friends and Family Rate,State 2019 Discussing Issues with Friends and Family Rate,State 2021 Discussing Issues with Friends and Family Rate,State 2017 Discussing Issues with Neighbors Rate,State 2019 Discussing Issues with Neighbors Rate,State 2021 Discussing Issues with Neighbors Rate,State 2017 Posting Views Online Rate,State 2019 Posting Views Online Rate,State 2021 Posting Views Online Rate,State 2017 Voting in Local Elections Rate,State 2019 Voting in Local Elections Rate,State 2021 Voting in Local Elections Rate,State 2017 Contacting Public Officials Rate,State 2019 Contacting Public Officials Rate,State 2021 Contacting Public Officials Rate,State 2017 Donating to a Political Cause Rate,State 2019 Donating to a Political Cause Rate,State 2021 Donating to a Political Cause Rate,State 2017 Attending Public Meetings Rate,State 2019 Attending Public Meetings Rate,State 2021 Attending Public Meetings Rate,State 2017 Taking Action with Neighbors Rate,State 2019 Taking Action with Neighbors Rate,State 2021 Taking Action with Neighbors Rate,State 2017 Buycotting or Boycotting Rate,State 2019 Buycotting or Boycotting Rate,State 2021 Buycotting or Boycotting Rate,State 2021 Employer Promotes Volunteering Rate
AL,0.274,0.258,0.195,0.221,0.229,0.184,0.499,0.51,0.401,0.474,0.498,0.464,0.984,0.978,0.979,0.766,0.712,0.688,0.877,0.824,0.748,0.701,0.648,0.677,0.322,0.3,0.316,0.196,0.208,0.18,0.556,0.624,0.5,0.073,0.089,0.079,0.046,0.066,0.052,0.073,0.09,0.079,0.182,0.164,0.159,0.069,0.105,0.095,0.347
AK,0.406,0.355,0.273,0.368,0.315,0.257,0.549,0.502,0.477,0.508,0.563,0.55,0.984,0.982,0.989,0.705,0.717,0.665,0.874,0.877,0.847,0.78,0.731,0.761,0.339,0.336,0.329,0.26,0.268,0.191,0.651,0.656,0.672,0.217,0.165,0.165,0.102,0.086,0.11,0.167,0.166,0.142,0.245,0.265,0.207,0.218,0.165,0.192,0.332
AZ,0.3,0.262,0.235,0.254,0.24,0.229,0.52,0.466,0.485,0.472,0.469,0.466,0.972,0.982,0.98,0.649,0.663,0.648,0.849,0.848,0.878,0.698,0.682,0.688,0.25,0.223,0.256,0.254,0.215,0.187,0.528,0.51,0.59,0.113,0.079,0.089,0.074,0.067,0.082,0.066,0.087,0.058,0.156,0.175,0.156,0.159,0.174,0.193,0.405
AR,0.3,0.297,0.209,0.286,0.299,0.231,0.489,0.543,0.524,0.498,0.498,0.507,0.96,0.984,0.983,0.717,0.675,0.65,0.876,0.836,0.842,0.706,0.664,0.687,0.3,0.261,0.268,0.236,0.194,0.222,0.499,0.479,0.455,0.132,0.103,0.096,0.061,0.078,0.06,0.09,0.116,0.068,0.17,0.196,0.144,0.137,0.142,0.166,0.36
CA,0.254,0.249,0.183,0.225,0.23,0.183,0.47,0.441,0.39,0.462,0.457,0.461,0.971,0.952,0.949,0.69,0.65,0.64,0.838,0.795,0.807,0.678,0.661,0.655,0.282,0.268,0.272,0.231,0.187,0.228,0.487,0.489,0.584,0.092,0.078,0.077,0.089,0.086,0.101,0.105,0.099,0.082,0.179,0.178,0.152,0.137,0.145,0.156,0.29
CO,0.324,0.422,0.262,0.256,0.334,0.274,0.555,0.65,0.555,0.613,0.636,0.589,0.984,0.994,0.964,0.76,0.801,0.707,0.897,0.92,0.833,0.768,0.813,0.736,0.342,0.349,0.363,0.207,0.23,0.236,0.602,0.659,0.72,0.143,0.114,0.129,0.127,0.142,0.107,0.111,0.145,0.122,0.213,0.253,0.207,0.154,0.237,0.266,0.328
CT,0.318,0.314,0.288,0.263,0.326,0.224,0.53,0.546,0.615,0.476,0.505,0.502,0.98,0.991,0.975,0.733,0.799,0.707,0.836,0.849,0.895,0.717,0.673,0.782,0.367,0.361,0.302,0.228,0.172,0.198,0.514,0.534,0.569,0.122,0.127,0.101,0.09,0.091,0.135,0.118,0.133,0.097,0.181,0.242,0.202,0.149,0.162,0.202,0.407
DE,0.318,0.307,0.298,0.286,0.323,0.309,0.615,0.556,0.493,0.578,0.658,0.639,0.941,0.967,0.946,0.801,0.727,0.781,0.87,0.906,0.852,0.697,0.727,0.722,0.343,0.335,0.348,0.218,0.214,0.297,0.532,0.582,0.403,0.114,0.109,0.102,0.124,0.077,0.075,0.123,0.104,0.088,0.244,0.277,0.234,0.112,0.17,0.161,0.432
DC,0.398,0.392,0.342,0.381,0.37,0.355,0.561,0.523,0.614,0.457,0.485,0.527,0.967,0.987,0.985,0.751,0.751,0.723,0.918,0.901,0.93,0.848,0.853,0.891,0.47,0.456,0.495,0.358,0.247,0.338,0.641,0.666,0.785,0.208,0.175,0.166,0.236,0.184,0.279,0.145,0.146,0.142,0.313,0.321,0.275,0.308,0.291,0.362,0.498
FL,0.228,0.242,0.159,0.192,0.21,0.178,0.432,0.414,0.368,0.509,0.469,0.446,0.954,0.96,0.932,0.752,0.675,0.642,0.814,0.771,0.765,0.635,0.62,0.628,0.313,0.273,0.279,0.184,0.183,0.202,0.497,0.534,0.544,0.084,0.076,0.07,0.074,0.08,0.083,0.085,0.088,0.066,0.236,0.178,0.155,0.11,0.1,0.108,0.292
